date,symbol,open,high,low,close,volume,adjusted_close
2024-01-02,SPY,100.0994,100.3997,99.7969,100.0972,800000,100.0972
2024-01-03,SPY,100.196,100.5094,99.8955,100.2087,807919,100.2087
2024-01-04,SPY,100.3067,100.62,100.0058,100.319,815838,100.319
2024-01-05,SPY,100.4159,100.7287,100.1146,100.4274,823757,100.4274
2024-01-08,SPY,100.5229,100.8349,100.2213,100.5333,831676,100.5333
2024-01-09,SPY,100.6271,100.9379,100.3252,100.636,839595,100.636
2024-01-10,SPY,100.7279,101.0373,100.4257,100.7351,847514,100.7351
2024-01-11,SPY,100.8247,101.1324,100.5223,100.8299,855433,100.8299
2024-01-12,SPY,100.9171,101.2228,100.6144,100.92,863352,100.92
2024-01-15,SPY,101.0045,101.3078,100.7015,101.0048,871271,101.0048
2024-01-16,SPY,101.0863,101.3896,100.7807,101.0839,879190,101.0839
2024-01-17,SPY,101.1622,101.4657,100.8534,101.1569,887109,101.1569
2024-01-18,SPY,101.2318,101.5355,100.9196,101.2233,895028,101.2233
2024-01-19,SPY,101.2946,101.5985,100.9791,101.2829,902947,101.2829
2024-01-22,SPY,101.3504,101.6544,101.0313,101.3354,910866,101.3354
2024-01-23,SPY,101.3988,101.703,101.0763,101.3804,918785,101.3804
2024-01-24,SPY,101.4396,101.7439,101.1136,101.4179,926704,101.4179
2024-01-25,SPY,101.4726,101.7771,101.1432,101.4476,934623,101.4476
2024-01-26,SPY,101.4978,101.8023,101.165,101.4695,942542,101.4695
2024-01-29,SPY,101.515,101.8195,101.179,101.4835,950461,101.4835
2024-01-30,SPY,101.5242,101.8287,101.1851,101.4896,958380,101.4896
2024-01-31,SPY,101.5254,101.8299,101.1834,101.4879,966299,101.4879
2024-02-01,SPY,101.5186,101.8232,101.1741,101.4785,974218,101.4785
2024-02-02,SPY,101.5041,101.8086,101.1572,101.4615,982137,101.4615
2024-02-05,SPY,101.4819,101.7864,101.133,101.4373,990056,101.4373
2024-02-06,SPY,101.4524,101.7568,101.1017,101.4059,997975,101.4059
2024-02-07,SPY,101.4157,101.72,101.0637,101.3678,1005894,101.3678
2024-02-08,SPY,101.3723,101.6764,101.0192,101.3232,1013813,101.3232
2024-02-09,SPY,101.3224,101.6264,100.9688,101.2726,1021732,101.2726
2024-02-12,SPY,101.2665,101.5703,100.9128,101.2164,1029651,101.2164
2024-02-13,SPY,101.205,101.5086,100.8516,101.1551,1037570,101.1551
2024-02-14,SPY,101.1384,101.4418,100.7859,101.0892,1045489,101.0892
2024-02-15,SPY,101.0672,101.3704,100.716,101.0191,803408,101.0191
2024-02-16,SPY,100.992,101.295,100.6427,100.9455,811327,100.9455
2024-02-19,SPY,100.9134,101.2161,100.5663,100.8689,819246,100.8689
2024-02-20,SPY,100.8318,101.1343,100.4876,100.79,827165,100.79
2024-02-21,SPY,100.7481,101.0503,100.4072,100.7093,835084,100.7093
2024-02-22,SPY,100.6627,100.9647,100.3257,100.6276,843003,100.6276
2024-02-23,SPY,100.5763,100.878,100.2437,100.5453,850922,100.5453
2024-02-26,SPY,100.4896,100.7911,100.1618,100.4632,858841,100.4632
2024-02-27,SPY,100.4033,100.7045,100.0808,100.3819,866760,100.3819
2024-02-28,SPY,100.3179,100.6188,100.0012,100.3021,874679,100.3021
2024-02-29,SPY,100.2341,100.5348,99.9236,100.2243,882598,100.2243
2024-03-01,SPY,100.1526,100.453,99.8487,100.1491,890517,100.1491
2024-03-04,SPY,100.0739,100.3775,99.7737,100.0773,898436,100.0773
2024-03-05,SPY,99.9987,100.3093,99.6987,100.0092,906355,100.0092
2024-03-06,SPY,99.9276,100.2454,99.6278,99.9456,914274,99.9456
2024-03-07,SPY,99.861,100.1864,99.5614,99.8868,922193,99.8868
2024-03-08,SPY,99.7996,100.1329,99.5002,99.8334,930112,99.8334
2024-03-11,SPY,99.7438,100.0851,99.4446,99.7858,938031,99.7858
2024-03-12,SPY,99.6941,100.0437,99.395,99.7444,945950,99.7444
2024-03-13,SPY,99.6508,100.0088,99.3519,99.7097,953869,99.7097
2024-03-14,SPY,99.6144,99.981,99.3156,99.6819,961788,99.6819
2024-03-15,SPY,99.5852,99.9603,99.2865,99.6613,969707,99.6613
2024-03-18,SPY,99.5635,99.9471,99.2648,99.6482,977626,99.6482
2024-03-19,SPY,99.5495,99.9416,99.2509,99.6427,985545,99.6427
2024-03-20,SPY,99.5434,99.9439,99.2448,99.6449,993464,99.6449
2024-03-21,SPY,99.5454,99.954,99.2467,99.6551,1001383,99.6551
2024-03-22,SPY,99.5554,99.9721,99.2567,99.6731,1009302,99.6731
2024-03-25,SPY,99.5736,99.998,99.2749,99.6989,1017221,99.6989
2024-03-26,SPY,99.6,100.0318,99.3012,99.7326,1025140,99.7326
2024-03-27,SPY,99.6344,100.0732,99.3355,99.7739,1033059,99.7739
2024-03-28,SPY,99.6767,100.1222,99.3777,99.8227,1040978,99.8227
2024-03-29,SPY,99.7268,100.1785,99.4276,99.8788,1048897,99.8788
2024-04-01,SPY,99.7844,100.2418,99.4851,99.9419,806816,99.9419
2024-04-02,SPY,99.8493,100.3118,99.5498,100.0117,814735,100.0117
2024-04-03,SPY,99.9211,100.3881,99.6214,100.0879,822654,100.0879
2024-04-04,SPY,99.9996,100.4704,99.6996,100.1699,830573,100.1699
2024-04-05,SPY,100.0841,100.5582,99.7839,100.2575,838492,100.2575
2024-04-08,SPY,100.1744,100.6511,99.8739,100.35,846411,100.35
2024-04-09,SPY,100.27,100.7484,99.9692,100.4471,854330,100.4471
2024-04-10,SPY,100.3703,100.8497,100.0692,100.5481,862249,100.5481
2024-04-11,SPY,100.4747,100.9544,100.1733,100.6525,870168,100.6525
2024-04-12,SPY,100.5828,101.062,100.281,100.7597,878087,100.7597
2024-04-15,SPY,100.6938,101.1717,100.3918,100.8691,886006,100.8691
2024-04-16,SPY,100.8073,101.2831,100.5049,100.9801,893925,100.9801
2024-04-17,SPY,100.9225,101.3954,100.6197,101.0921,901844,101.0921
2024-04-18,SPY,101.0389,101.508,100.7357,101.2044,909763,101.2044
2024-04-19,SPY,101.1557,101.6202,100.8522,101.3163,917682,101.3163
2024-04-22,SPY,101.2723,101.7316,100.9685,101.4273,925601,101.4273
2024-04-23,SPY,101.3881,101.8413,101.0839,101.5367,933520,101.5367
2024-04-24,SPY,101.5024,101.9488,101.1979,101.6439,941439,101.6439
2024-04-25,SPY,101.6147,102.0535,101.3098,101.7482,949358,101.7482
2024-04-26,SPY,101.7242,102.1547,101.419,101.8492,957277,101.8492
2024-04-29,SPY,101.8303,102.252,101.5248,101.9462,965196,101.9462
2024-04-30,SPY,101.9326,102.3448,101.6268,102.0386,973115,102.0386
2024-05-01,SPY,102.0304,102.4325,101.7243,102.1261,981034,102.1261
2024-05-02,SPY,102.1232,102.5147,101.8169,102.2081,988953,102.2081
2024-05-03,SPY,102.2106,102.591,101.9039,102.2841,996872,102.2841
2024-05-06,SPY,102.292,102.6609,101.9851,102.3538,1004791,102.3538
2024-05-07,SPY,102.3671,102.7241,102.06,102.4168,1012710,102.4168
2024-05-08,SPY,102.4354,102.7802,102.1281,102.4728,1020629,102.4728
2024-05-09,SPY,102.4967,102.8291,102.1892,102.5215,1028548,102.5215
2024-05-10,SPY,102.5506,102.8704,102.243,102.5628,1036467,102.5628
2024-05-13,SPY,102.597,102.9048,102.2885,102.5963,1044386,102.5963
2024-05-14,SPY,102.6356,102.9435,102.3142,102.622,802305,102.622
2024-05-15,SPY,102.6663,102.9743,102.332,102.6399,810224,102.6399
2024-05-16,SPY,102.689,102.997,102.342,102.6499,818143,102.6499
2024-05-17,SPY,102.7037,103.0118,102.3441,102.6521,826062,102.6521
2024-05-20,SPY,102.7103,103.0185,102.3385,102.6465,833981,102.6465
2024-05-21,SPY,102.7091,103.0172,102.3253,102.6332,841900,102.6332
2024-05-22,SPY,102.7,103.0081,102.3047,102.6125,849819,102.6125
2024-05-23,SPY,102.6833,102.9914,102.2769,102.5846,857738,102.5846
2024-05-24,SPY,102.6592,102.9672,102.2421,102.5498,865657,102.5498
2024-05-27,SPY,102.6279,102.9358,102.2008,102.5083,873576,102.5083
2024-05-28,SPY,102.5898,102.8976,102.1533,102.4607,881495,102.4607
2024-05-29,SPY,102.5453,102.8529,102.1,102.4072,889414,102.4072
2024-05-30,SPY,102.4947,102.8022,102.0413,102.3483,897333,102.3483
2024-05-31,SPY,102.4384,102.7458,101.9777,102.2846,905252,102.2846
2024-06-03,SPY,102.3771,102.6842,101.9098,102.2165,913171,102.2165
2024-06-04,SPY,102.3111,102.618,101.8381,102.1445,921090,102.1445
2024-06-05,SPY,102.241,102.5477,101.7632,102.0694,929009,102.0694
2024-06-06,SPY,102.1674,102.4739,101.6856,101.9915,936928,101.9915
2024-06-07,SPY,102.0908,102.3971,101.6059,101.9116,944847,101.9116
2024-06-10,SPY,102.0119,102.318,101.5249,101.8303,952766,101.8303
2024-06-11,SPY,101.9314,102.2372,101.443,101.7482,960685,101.7482
2024-06-12,SPY,101.8497,102.1553,101.361,101.666,968604,101.666
2024-06-13,SPY,101.7676,102.0729,101.2795,101.5842,976523,101.5842
2024-06-14,SPY,101.6858,101.9908,101.1991,101.5036,984442,101.5036
2024-06-17,SPY,101.6047,101.9095,101.1204,101.4247,992361,101.4247
2024-06-18,SPY,101.5252,101.8297,101.0441,101.3482,1000280,101.3482
2024-06-19,SPY,101.4477,101.752,100.9708,101.2746,1008199,101.2746
2024-06-20,SPY,101.3729,101.677,100.901,101.2046,1016118,101.2046
2024-06-21,SPY,101.3014,101.6053,100.8353,101.1387,1024037,101.1387
2024-06-24,SPY,101.2338,101.5375,100.7742,101.0775,1031956,101.0775
2024-06-25,SPY,101.1705,101.474,100.7183,101.0214,1039875,101.0214
2024-06-26,SPY,101.1122,101.4155,100.6679,100.9709,1047794,100.9709
2024-06-27,SPY,101.0592,101.3623,100.6236,100.9264,805713,100.9264
2024-06-28,SPY,101.012,101.315,100.5857,100.8884,813632,100.8884
2024-07-01,SPY,100.971,101.2739,100.5545,100.8571,821551,100.8571
2024-07-02,SPY,100.9365,101.2393,100.5304,100.8329,829470,100.8329
2024-07-03,SPY,100.9089,101.2117,100.5136,100.8161,837389,100.8161
2024-07-04,SPY,100.8885,101.1912,100.5044,100.8068,845308,100.8068
2024-07-05,SPY,100.8754,101.1781,100.5028,100.8052,853227,100.8052
2024-07-08,SPY,100.8699,101.1725,100.509,100.8115,861146,100.8115
2024-07-09,SPY,100.872,101.1746,100.5231,100.8256,869065,100.8256
2024-07-10,SPY,100.8818,101.1844,100.545,100.8476,876984,100.8476
2024-07-11,SPY,100.8993,101.202,100.5748,100.8774,884903,100.8774
2024-07-12,SPY,100.9245,101.2273,100.6122,100.915,892822,100.915
2024-07-15,SPY,100.9573,101.263,100.6545,100.9601,900741,100.9601
2024-07-16,SPY,100.9976,101.3157,100.6946,101.0127,908660,101.0127
2024-07-17,SPY,101.0452,101.3756,100.7421,101.0724,916579,101.0724
2024-07-18,SPY,101.0998,101.4424,100.7965,101.1389,924498,101.1389
2024-07-19,SPY,101.1612,101.5156,100.8578,101.212,932417,101.212
2024-07-22,SPY,101.2291,101.595,100.9254,101.2912,940336,101.2912
2024-07-23,SPY,101.303,101.6802,100.9991,101.3761,948255,101.3761
2024-07-24,SPY,101.3826,101.7706,101.0785,101.4662,956174,101.4662
2024-07-25,SPY,101.4674,101.8658,101.163,101.5611,964093,101.5611
2024-07-26,SPY,101.557,101.9652,101.2523,101.6602,972012,101.6602
2024-07-29,SPY,101.6508,102.0683,101.3458,101.7631,979931,101.7631
2024-07-30,SPY,101.7482,102.1746,101.443,101.869,987850,101.869
2024-07-31,SPY,101.8489,102.2833,101.5433,101.9774,995769,101.9774
2024-08-01,SPY,101.952,102.3939,101.6462,102.0877,1003688,102.0877
2024-08-02,SPY,102.0571,102.5058,101.751,102.1992,1011607,102.1992
2024-08-05,SPY,102.1636,102.6184,101.8571,102.3114,1019526,102.3114
2024-08-06,SPY,102.2707,102.7309,101.9639,102.4236,1027445,102.4236
2024-08-07,SPY,102.378,102.8428,102.0709,102.5352,1035364,102.5352
2024-08-08,SPY,102.4847,102.9534,102.1773,102.6454,1043283,102.6454
2024-08-09,SPY,102.5903,103.062,102.2825,102.7538,801202,102.7538
2024-08-12,SPY,102.6941,103.1682,102.386,102.8596,809121,102.8596
2024-08-13,SPY,102.7955,103.2712,102.4871,102.9623,817040,102.9623
2024-08-14,SPY,102.894,103.3705,102.5853,103.0613,824959,103.0613
2024-08-15,SPY,102.989,103.4655,102.68,103.1561,832878,103.1561
2024-08-16,SPY,103.0799,103.5558,102.7707,103.2461,840797,103.2461
2024-08-19,SPY,103.1663,103.6408,102.8568,103.3308,848716,103.3308
2024-08-20,SPY,103.2476,103.72,102.9379,103.4098,856635,103.4098
2024-08-21,SPY,103.3235,103.7931,103.0135,103.4827,864554,103.4827
